fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.00018426386585590566,0.9984286873183656
0.0,0.06559793624470242,0.9481461193677552
0.0003112356053532524,0.06559793624470242,0.948104536872523
0.0003112356053532524,0.07831214298875991,0.9401069536786487
0.0006224712107065049,0.07831214298875991,0.940063363702328
0.0006224712107065049,0.08826239174497881,0.9326036285752037
0.0009337068160597573,0.08826239174497881,0.9324884910165512
0.0009337068160597573,0.08899944720840243,0.9321884610102145
0.0012449424214130097,0.08899944720840243,0.9321420203462436
0.0012449424214130097,0.09047355813524968,0.931541387724102
0.001556178026766262,0.09047355813524968,0.9315077978386134
0.001556178026766262,0.09194766906209692,0.930856744191742
0.0018674136321195146,0.09194766906209692,0.9307752987810175
0.0018674136321195146,0.09692279344020638,0.9275924820390623
0.002178649237472767,0.09692279344020638,0.9274944502203417
0.002178649237472767,0.14317302377003868,0.900762512598671
0.0024898848428260194,0.14317302377003868,0.900754630156512
0.0024898848428260194,0.14409434309931823,0.9002735140529753
0.0028011204481792717,0.14409434309931823,0.9002204912038216
0.0028011204481792717,0.1461212456237332,0.8989025025864323
0.003112356053532524,0.1461212456237332,0.8988451853771168
0.003112356053532524,0.14777962041643633,0.8976932905291591
0.0034235916588857764,0.14777962041643633,0.8975607291654363
0.0034235916588857764,0.1557029666482403,0.8938885361903406
0.003734827264239029,0.1557029666482403,0.8938231536692628
0.003734827264239029,0.15662428597751982,0.893448395054024
0.0040460628695922814,0.15662428597751982,0.8934378284987636
0.0040460628695922814,0.16565321540445918,0.8881536252002665
0.004357298474945534,0.16565321540445918,0.8881063682767786
0.004357298474945534,0.17025981205085683,0.8859013441367571
0.004668534080298786,0.17025981205085683,0.8858461602831749
0.004668534080298786,0.17505067256311038,0.8836950726040995
0.004979769685652039,0.17505067256311038,0.8834934202480116
0.004979769685652039,0.17689331122166943,0.8822280664342906
0.005291005291005291,0.17689331122166943,0.881651601517199
0.005291005291005291,0.18039432467293165,0.8789645731893634
0.0056022408963585435,0.18039432467293165,0.8787936782826808
0.0056022408963585435,0.1888704625023033,0.8744397413856547
0.005913476501711796,0.1888704625023033,0.874404463627514
0.005913476501711796,0.19237147595356552,0.8719592358821486
0.006224712107065048,0.19237147595356552,0.8718309538542105
0.006224712107065048,0.19347705914870095,0.871186619359174
0.006535947712418301,0.19347705914870095,0.8711787432884497
0.006535947712418301,0.19402985074626866,0.8711090776623263
0.006847183317771553,0.19402985074626866,0.8710866099869277
0.006847183317771553,0.1951354339414041,0.8703914263415194
0.0071584189231248055,0.1951354339414041,0.870237499168645
0.0071584189231248055,0.20582273816104663,0.8647551895369455
0.007469654528478058,0.20582273816104663,0.8647287613954774
0.007469654528478058,0.20803390455131748,0.8628160751754896
0.00778089013383131,0.20803390455131748,0.8627334336184695
0.00778089013383131,0.2082181684171734,0.8627266576382852
0.008092125739184563,0.2082181684171734,0.8625478753172485
0.008092125739184563,0.21208770960014742,0.8594248222204023
0.008403361344537815,0.21208770960014742,0.8594079433135543
0.008403361344537815,0.21337755666113875,0.8589067252897933
0.008714596949891068,0.21337755666113875,0.8588783377076008
0.008714596949891068,0.2154044591855537,0.8583131608966761
0.00902583255524432,0.2154044591855537,0.8582016318972171
0.00902583255524432,0.2155887230514096,0.8581583629638071
0.009337068160597572,0.2155887230514096,0.858123337912393
0.009337068160597572,0.21632577851483323,0.8578260685910924
0.009648303765950824,0.21632577851483323,0.8577260140307704
0.009648303765950824,0.21687857011240097,0.8573933979552905
0.009959539371304078,0.21687857011240097,0.8572903627867801
0.009959539371304078,0.2185369449051041,0.8567712008284983
0.01027077497665733,0.2185369449051041,0.8564956329528922
0.01027077497665733,0.21890547263681592,0.8563430094836417
0.010582010582010581,0.21890547263681592,0.8562658756815882
0.010582010582010581,0.21945826423438364,0.8560079437848171
0.010893246187363835,0.21945826423438364,0.8558830846528542
0.010893246187363835,0.22074811129537497,0.8554244762726718
0.011515717398070339,0.22074811129537497,0.8551861888948846
0.011515717398070339,0.2222222222222222,0.8545507712543887
0.012138188608776844,0.2222222222222222,0.8544125181757634
0.012138188608776844,0.22351206928321357,0.8542135425192495
0.012449424214130096,0.22351206928321357,0.8540253697062321
0.012449424214130096,0.22535470794177262,0.8529754436602076
0.012760659819483348,0.22535470794177262,0.8528322896024598
0.012760659819483348,0.22646029113690805,0.852225520964384
0.013694366635543105,0.22646029113690805,0.8519745538900904
0.013694366635543105,0.22719734660033167,0.8514805447351645
0.014005602240896359,0.22719734660033167,0.8514302872797196
0.014005602240896359,0.23272526257600884,0.84943067010184
0.014316837846249611,0.23272526257600884,0.8494244375417541
0.014316837846249611,0.2375161230882624,0.8468569016638464
0.014628073451602863,0.2375161230882624,0.8468464367097502
0.014628073451602863,0.24138566427123642,0.8443655338125914
0.014939309056956116,0.24138566427123642,0.8442876279714377
0.014939309056956116,0.2439653583932191,0.8431097058237045
0.015250544662309368,0.2439653583932191,0.843032007220587
0.015250544662309368,0.24783489957619312,0.8420237523869719
0.01556178026766262,0.24783489957619312,0.8420054926317008
0.01556178026766262,0.24857195503961674,0.8418980971694358
0.015873015873015872,0.24857195503961674,0.8418718451549275
0.015873015873015872,0.2531785516860144,0.840450347030472
0.016184251478369126,0.2531785516860144,0.8403572960645957
0.016184251478369126,0.25520545421042934,0.8390887403415437
0.01649548708372238,0.25520545421042934,0.8390799732611673
0.01649548708372238,0.25612677353970886,0.8385517315145857
0.01680672268907563,0.25612677353970886,0.8384180099027427
0.01680672268907563,0.2612861617836742,0.8344803490523639
0.017117958294428883,0.2612861617836742,0.8344422729158381
0.017117958294428883,0.2622074811129538,0.8341499612065065
0.017740429505135387,0.2622074811129538,0.8340640100950814
0.017740429505135387,0.26423438363736873,0.8330167350161356
0.01836290071584189,0.26423438363736873,0.8328899490460073
0.01836290071584189,0.26460291136908054,0.8325512438899885
0.018674136321195144,0.26460291136908054,0.8325463846431826
0.018674136321195144,0.26478717523493644,0.8325436332827699
0.018985371926548398,0.26478717523493644,0.832463483025337
0.018985371926548398,0.2669983416252073,0.8313346249894554
0.019296607531901648,0.2669983416252073,0.8313327009742945
0.019296607531901648,0.26920950801547816,0.8298050382597182
0.0196078431372549,0.26920950801547816,0.8297385536343711
0.0196078431372549,0.2716049382716049,0.8288503229498126
0.019919078742608155,0.2716049382716049,0.8287657145534038
0.019919078742608155,0.2740003685277317,0.8269044653938845
0.020230314347961405,0.2740003685277317,0.8268177316955765
0.020230314347961405,0.2743688962594435,0.8266817433942235
0.02054154995331466,0.2743688962594435,0.8265684001002244
0.02054154995331466,0.27455316012529946,0.8264814456313632
0.020852785558667913,0.27455316012529946,0.8263940928258836
0.020852785558667913,0.2760272710521467,0.8260335892293252
0.021164021164021163,0.2760272710521467,0.8258185488951998
0.021164021164021163,0.27731711811313803,0.8251364330202627
0.021475256769374416,0.27731711811313803,0.8250984000666458
0.021475256769374416,0.27750138197899393,0.8249380070544228
0.02178649237472767,0.27750138197899393,0.8247611205477404
0.02178649237472767,0.27860696517412936,0.8244678525331011
0.02209772798008092,0.27860696517412936,0.8244600811118853
0.02209772798008092,0.279344020637553,0.8239862877518563
0.022408963585434174,0.279344020637553,0.8239468769767635
