fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.00018426386585590566,0.9938773724154882
0.0,0.000552791597567717,0.9936521743508937
0.0,0.001105583195135434,0.9935350642948328
0.0,0.007739082365948038,0.993501764545133
0.0,0.007923346231803944,0.9933818980835769
0.0,0.01658374792703151,0.9933050633926116
0.0,0.017320803390455133,0.9932635972617463
0.0,0.019531969780726,0.9931815934826616
0.0,0.04274921687857011,0.9931464856259719
0.0,0.04311774461028192,0.9930601275718257
0.0,0.04496038326884098,0.9930597371632424
0.0,0.04514464713469689,0.9930339290894826
0.0,0.04919845218352681,0.9930201117306235
0.0,0.05011977151280634,0.9929553665142382
0.0,0.05048829924451815,0.9929042822472888
0.0,0.05269946563478902,0.9928953901067277
0.0,0.05306799336650083,0.9928914363611013
0.0,0.0554634236226276,0.9928501543042758
0.0,0.07407407407407407,0.9927885658839812
0.0,0.07425833793992997,0.9927734747919358
0.0,0.0748111295374977,0.9927613497107722
0.0,0.07517965726920951,0.9927231331059301
0.0,0.07831214298875991,0.9926808808548043
0.0,0.07849640685461581,0.9926165022746035
0.0,0.12935323383084577,0.99257043769771
0.0,0.12953749769670167,0.992508941775924
0.0,0.130827344757693,0.9924579670457062
0.0,0.2470978441127695,0.9923945926523919
0.0,0.2476506357103372,0.99234522088655
0.0,0.2505988575640317,0.9923316524720612
0.0,0.25096738529574353,0.9923193670858957
0.0,0.25115164916159943,0.9923080344402139
0.0,0.2531785516860144,0.9922299173195097
0.0,0.2542841348811498,0.9921260280265637
0.0,0.25502119034457343,0.9921137891250529
0.0,0.2566795651372766,0.99209981375397
0.0,0.2576008844665561,0.9920913287899894
0.0,0.261654689515386,0.992046077323422
0.0,0.2618389533812419,0.9920425272620164
0.0,0.2627602727105215,0.9919792157280825
0.0,0.26515570296664825,0.9919272238926575
0.0,0.2677353970886309,0.9919129205991799
0.0,0.26884098028376635,0.991904236546052
0.0,0.26902524414962226,0.9918911304169147
0.0,0.26957803574718997,0.9917894932202822
0.0,0.2697622996130459,0.9917653079306696
0.0,0.2704993550764695,0.9917418011495306
0.0,0.271420674405749,0.9916999288048578
0.0,0.2743688962594435,0.991699341786241
0.0,0.27492168785701127,0.9916876898443424
0.0,0.27510595172286717,0.9916686385604234
0.0,0.2756587433204349,0.9916543038304454
0.0,0.2758430071862908,0.9916123526842893
0.0,0.2763957987838585,0.9915637056301122
0.0,0.2767643265155703,0.991554649776362
0.0,0.27731711811313803,0.9914997441467677
0.0,0.2843191450156624,0.9914911307732562
0.0,0.28505620047908603,0.9914824355742562
0.0,0.28524046434494194,0.9914718597930887
0.0,0.28579325594250965,0.9914491556308793
0.0,0.28745163073521285,0.9914485510293843
0.0,0.28782015846692466,0.9913642402667786
0.0,0.2883729500644924,0.9913549721657485
0.0,0.2885572139303483,0.9913301645463248
0.0,0.2889257416620601,0.9913070646765616
0.0,0.2894785332596278,0.9912810655808595
0.0,0.2903998525889073,0.99124700578789
0.0,0.2922424912474664,0.991246387019256
0.0,0.30016583747927034,0.9912341048682117
0.0,0.3069836005159388,0.9912246983390756
0.0,0.3071678643817947,0.9912234372113965
0.0,0.30790491984521834,0.9912226194110422
0.0,0.30901050304035377,0.9911498804200412
0.0,0.3097475585037774,0.9911363003583376
0.0,0.3099318223696333,0.9911206022086317
0.0,0.3110374055647688,0.9911015858214405
0.0,0.3112216694306247,0.9910852911620005
0.0,0.3287267366869357,0.9910269170395453
0.0,0.33720287451630737,0.991017290195549
0.0,0.337939929979731,0.991015999530718
0.0,0.3425465266261286,0.9910151625765212
0.0,0.34365210982126404,0.9910027612244475
0.0,0.34383637368711994,0.9909870246662831
0.0,0.34420490141883175,0.9909687475785713
0.0,0.3449419568822554,0.9909644240594606
0.0,0.3451262207481113,0.9909510319325588
0.0,0.3454947484798231,0.9909309082014744
0.0,0.3460475400773908,0.9908686548662449
0.0,0.3466003316749585,0.9908329017952437
0.0,0.3469688594066703,0.9907920735677223
0.0,0.35655058043117743,0.9907901562375531
0.0,0.35710337202874515,0.9907814027515387
0.0,0.35728763589460105,0.9907554682343955
0.0,0.3596830661507278,0.9907447553935488
0.0,0.3611571770775751,0.9907402312576057
0.0,0.3615257048092869,0.9906672245203089
0.0,0.36189423254099873,0.9906529108318641
0.0,0.3642896627971255,0.990631132959643
0.0,0.3653952459922609,0.9906163210316057
0.0,0.3655795098581168,0.9906077733817578
