site,auroc,auprc,precision,recall,f1,accuracy,brier_score,ece
Hospital A (Source),0.9886411935440612,0.9934188473500569,0.9887920298879203,0.9330199764982373,0.9600967351874244,0.9517543859649122,0.036442555170497,0.022885832596068304
Hospital B (Target),0.9913974257945889,0.9957339081302149,0.99375,0.9397163120567376,0.9659781287970839,0.9567901234567902,0.03408431604685661,0.03860686598810453
